proceduretype_id,procedurename,proccost,coveredby
1,Blood Gas,35,insurance
2,Electro Lytes,25,insurance
3,Cult & Sens,35,insurance
4,Fecal Exam,12,insurance
5,FeLv / FIV,35,insurance
6,Htwm Test,35,insurance
7,Leukemia Test,30,insurance
8,Parvo Test,30,insurance
9,Skin Scraping,25,insurance
10,Thyroid T4,35,insurance
11,Tumor Biopsy,125,insurance
12,Urinalysis,21,insurance
13,Vaginal Smear,25,insurance
14,Canine castration retained (exterior),149,owner
15,Canine castration retained (interior),180,owner
16,Feline castration retained,175,owner
17,Canine ovariohysterectomy,106,insurance
18,Feline ovariohysterectomy,102,insurance
19,C Section,400,insurance
20,Pyometra Canine,375,insurance
21,Pyometra Feline,250,insurance
22,Galaxie (DHLPP) vaccination,15,owner
23,Leukemia vaccination,15,owner
24,Lyme vaccination,15,owner
25,PCR vaccination,15,owner
26,Rabies vaccination,10,owner
27,Bordetella vaccination,10,owner
28,Blood Transfusion,200,insurance
29,Ear Flush,19,insurance
30,Enema,25,insurance
31,Fluid Therapy,15,insurance
32,I.V. Setup,20,insurance
33,Injection AB,7,insurance
34,Nail Trim,10,owner
35,Necropsy,250,insurance
36,Disposal,40,insurance
37,Schirmer Tear Prod,12,insurance
38,Health Certificate,15,owner
39,Corneal Staining,15,insurance
40,Tonometry,22,insurance
41,Radiology - First Plate,80,insurance
42,Radiology - Barium Series,198,insurance
43,Amput. per lim thor.,325,insurance
44,Casting,97,insurance
45,Re-Casting,62,insurance
46,Fem. head Ostec.,420,insurance
47,Lx Patella Repair,305,insurance
48,Metamason Splint,50,insurance
49,Pinning-I.M.,325,insurance
50,Pin Removal,68,insurance
51,Cast Removal,40,insurance
52,Eye Enucleation - Ophthalmic Surgery,290,insurance
53,Entropion / Ectro - Ophthalmic Surgery,200,insurance
54,Cherry Eye - Ophthalmic Surgery,105,insurance
55,Stye Removal - Ophthalmic Surgery,140,insurance
56,Anesthesia IM,42,insurance
57,Oxy Therapy,30,insurance
58,Hemoclips,3.75,insurance
59,Anal Gland Caut - Surgery,130,insurance
60,Aural Hematoma - Surgery,108,insurance
61,Declaw   (feline) - Surgery,125,owner
62,Declaw   (K-9) toe - Surgery,52,owner
63,Ear Crop (8 to 12 weeks) - Surgery,300,insurance
64,Gastric Torsion - Surgery,450,insurance
65,Hernia - Surgery,390,insurance
66,Perineal - Surgery,375,insurance
67,Unilat Inquinal - Surgery,195,insurance
68,Intestinal Anas - Surgery,775,insurance
69,Open Chest Surgery,500,insurance
70,Perineal Adenoma - Surgery,175,insurance
71,Peritoneal Lavage - Surgery,85,insurance
72,Pyloric Stenosis - Surgery,425,insurance
73,Splenectomy - Surgery,375,insurance
74,Radical Mastectomy - Surgery,450,insurance
75,Salivary Cyst Ex - Surgery,570,insurance
76,Tail Dock-Amputation - Surgery,250,insurance
77,Tail Dock / Dewclaws 3 days old - Surgery,15,insurance
78,Tattoo (social security num.) - Surgery,75,insurance
79,Teeth Cleaning,127,owner
80,Tooth Extraction - Surgery,35,insurance
81,Tumor Removal - Surgery,160,insurance
82,Bladder stone removal - Surgery,325,insurance
83,Ear Canal Oblation - Surgery,325,insurance
84,Microchip Placement - Surgery,32,insurance
