bill_id,visit_id,insureprov_id,owner_id,duedate,billamount,remainderdue
1,1,,,6/6/05,637.33,0
2,2,,,6/6/05,825.17,0
3,5,,,6/7/05,879.77,0
4,6,,,6/7/05,249.79,0
5,7,,,6/7/05,777.01,0
6,8,,,6/7/05,35.48,0
7,9,,,6/8/05,814.27,0
8,10,,,6/8/05,891.68,0
9,11,,,6/8/05,3.29,0
10,12,,,6/8/05,468.85,0
11,13,,,6/9/05,880.37,0
12,14,,,6/9/05,561.56,0
13,15,,,6/9/05,622.74,0
14,16,,,6/9/05,49.91,0
15,17,,,6/10/05,894.42,0
16,18,,,6/10/05,604.34,0
17,19,,,6/10/05,214.09,0
18,20,,,6/10/05,521.17,0
19,21,,,6/11/05,844.98,0
20,22,,,6/11/05,141.36,0
21,23,,,6/11/05,575.95,0
22,25,,,6/12/05,515.09,0
23,27,,,6/12/05,203.02,0
24,28,,,6/12/05,52.37,0
25,30,,,6/13/05,574.9,0
26,31,,,6/13/05,164.44,0
27,33,,,6/14/05,467.09,0
28,34,,,6/14/05,708.32,0
29,35,,,6/14/05,114.99,0
30,36,,,6/14/05,307.21,0
31,37,,,6/15/05,865.65,0
32,38,,,6/15/05,507.83,0
33,39,,,6/15/05,57.62,0
34,40,,,6/15/05,150.8,0
35,41,,,6/16/05,888.87,0
36,42,,,6/16/05,785.83,0
37,44,,,6/16/05,384.33,0
38,45,,,6/17/05,621.73,0
39,46,,,6/17/05,885.66,0
40,49,,,6/18/05,71.3,0
41,50,,,6/18/05,636.95,0
42,51,,,6/18/05,423.58,0
43,52,,,6/18/05,685.81,0
44,53,,,6/19/05,254.29,0
45,54,,,6/19/05,759.09,0
46,55,,,6/19/05,182.65,0
47,56,,,6/19/05,644.47,0
48,57,,,6/20/05,323.15,0
49,58,,,6/20/05,105.92,0
50,59,,,6/20/05,154.63,0
51,60,,,6/20/05,406.67,0
52,61,,,6/21/05,653.6,0
53,62,,,6/21/05,368.45,0
54,63,,,6/21/05,158.41,0
55,64,,,6/21/05,735.7,0
56,65,,,6/22/05,478.28,0
57,66,,,6/22/05,6.98,0
58,67,,,6/22/05,729.44,0
59,68,,,6/22/05,582.51,0
60,69,,,6/23/05,419.1,0
61,70,,,6/23/05,853.7,0
62,71,,,6/23/05,384.03,0
63,72,,,6/23/05,735.26,0
64,73,,,6/24/05,193.84,0
65,75,,,6/24/05,586.11,0
66,76,,,6/24/05,415.88,0
67,77,,,6/25/05,776.74,0
68,79,,,6/25/05,114.46,0
69,80,,,6/25/05,117.5,0
70,81,,,6/26/05,280.18,0
71,82,,,6/26/05,464.91,0
72,83,,,6/26/05,498.06,0
73,84,,,6/26/05,374.38,0
74,85,,,6/27/05,366.31,0
75,86,,,6/27/05,237.82,0
76,87,,,6/27/05,706.64,0
77,88,,,6/27/05,709.68,0
78,89,,,6/28/05,438.5,0
79,90,,,6/28/05,132.15,0
80,92,,,6/28/05,414.98,0
