breedname,speciesname,generictype,avg_wt_kg,life_exp_yrs
Labrador Retriever ,canus domesticus,dog,20,10
Yorkshire Terrier ,canus domesticus,dog,6,15
German Shepherd Dog ,canus domesticus,dog,30,11
Golden Retriever ,canus domesticus,dog,30,11
Beagle ,canus domesticus,dog,10,12
Boxer ,canus domesticus,dog,25,12
Dachshund ,canus domesticus,dog,8,15
Poodle ,canus domesticus,dog,25,12
Shih Tzu ,canus domesticus,dog,6,15
Bulldog ,canus domesticus,dog,30,12
Miniature Schnauzer ,canus domesticus,dog,20,15
Chihuahua ,canus domesticus,dog,2,15
Pomeranian ,canus domesticus,dog,5,15
Pugs ,canus domesticus,dog,8,15
Rottweiler ,canus domesticus,dog,30,12
Boston Terrier ,canus domesticus,dog,8,15
Cocker Spaniel ,canus domesticus,dog,8,15
German Shorthaired Pointer ,canus domesticus,dog,25,12
Maltese ,canus domesticus,dog,6,15
Shetland Sheepdog ,canus domesticus,dog,40,11
Domestic Shorthair,felis domesticus,cat,6,15
Maine Coon,felis domesticus,cat,10,15
Siberian,felis domesticus,cat,8,15
Norwegian Forest,felis domesticus,cat,8,15
Persian,felis domesticus,cat,6,15
