coveredby,medname,manufacturer,use_text,warn_text,units
Insurer,Adravil,Dogomania,To be taken with food,Do not mix with antibiotics,tablet
Owner,Alprazaline,Pettastic,To be taken in the morning,Do not mix with NSAIDs,oz
,Aquasol,Fuzztasia Industries,To be taken at night,May cause dehydration,gm
,Bittamucin,Snugglegen,To be taken every 8 hours,May cause lethargy,ml
,Byphodine,,To be taken after fasting,,fl oz
,Carabonal,,,,
,Cloveritol,,,,
,Comanapracil,,,,
,Cordrazine,,,,
,Cryostim,,,,
,Dehalcynate,,,,
,Dioxnyl,,,,
,Doloxan,,,,
,Digitalin,,,,
,Dylar,,,,
,Dypraxa,,,,
,Ephemerol[7][8],,,,
,Felicium,,,,
,Focusyn,,,,
,Fukitol,,,,
,Gambutrol,,,,
,Havidol,,,,
,Hibernol,,,,
,Hydromel,,,,
,Hydroxl,,,,
,Hypnocil,,,,
,Hyronalin,,,,
,Imobatine,,,,
,Inaprovaline,,,,
,Interfectum,,,,
,Isoprovalyn,,,,
,Jamitol,,,,
,Kallocain,,,,
,Kalocin,,,,
,Lithium dibromide,,,,
,Masiform D,,,,
,Metazine,,,,
,Miracurall,,,,
,Nappien,,,,
,Neodextraline solution,,,,
,Neuropozyne,,,,
,Novril,,,,
,Panexa,,,,
,Paracetamoxyfrusebendroneomycin,,,,
,Phalanxifor,,,,
,Placiden,,,,
,Plomox,,,,
,Prexilin,,,,
,Progenitorivox,,,,
,Provasic (RDU-90),,,,
,Provolanaproxalidamine C,,,,
,Prozium[8],,,,
,Pylene-50,,,,
,Qualex,,,,
,Quinium,,,,
,Repressitol,,,,
,Retinax 5,,,,
,Ryetalyn,,,,
,Selenine,,,,
,Serisone,,,,
,Sustengo,,,,
,Teamocil,,,,
,Telol,,,,
,Tretonin,,,,
,Trichloromethylene,,,,
,Triopenin,,,,
,Uspirim,,,,
,Valifin,,,,
,Varatril,,,,
,Viopril,,,,
,Zombrex,,,,
,Zydrate,,,,
